N,t
289383, 7576
259431, 4692
70816, 1074
315654, 6798
921610, 16656
256470, 3765
388618, 6200
64890, 977
786594, 13099
888111, 13926
917262, 13879
831588, 14935
802317, 12054
472349, 7076
423919, 6361
941663, 15997
748231, 11411
905521, 13951
655825, 10024
834908, 12584
66151, 1008
739648, 11258
939374, 14297
44682, 782
611487, 11045
54381, 832
306979, 4665
726573, 11443
462734, 7075
564075, 8563
397868, 6046
606946, 9270
279786, 4265
803106, 12398
677181, 10373
165552, 2539
297519, 4520
920294, 14424
601097, 9103
294665, 4482
145075, 2129
661479, 10047
235630, 3588
454072, 6898
874885, 13251
216948, 3296
851221, 12824
83782, 1274
195292, 2951
568650, 8637
130444, 1974
180468, 2724
556009, 8449
278634, 4203
747804, 11376
375499, 5709
644150, 9812
915775, 13830
275685, 4187
832435, 12540
751469, 11484
843206, 12659
524536, 7940
61261, 977
44951, 709
295420, 4579
205045, 3073
351174, 5241
175064, 2629
66937, 1000
802980, 12102
904862, 13762
296424, 4446
656672, 9991
971422, 16574
554063, 8396
737937, 11197
302820, 4671
47488, 725
637892, 9717
614206, 9317
283389, 4321
342660, 5189
214793, 3246
744756, 11288
265809, 4013
503112, 7632
332886, 5016
436353, 6565
326320, 4983
461683, 6957
370842, 5540
196849, 2940
234881, 3431
713161, 10878
339008, 5152
539347, 8262
381005, 5800
254984, 3862
740393, 11231
798301, 12055
618872, 9426
296267, 4508
622826, 9493
828492, 12641
425364, 6500
958590, 14730
898983, 16563
415707, 6396
143518, 2205
839466, 12811
499482, 7675
78897, 1194
712471, 11043
131380, 2017
482105, 7306
849973, 13511
404463, 6188
348765, 5285
287845, 4347
988763, 17140
906165, 13850
39944, 647
153346, 2473
770806, 12057
400551, 6112
203651, 3100
548629, 8288
214484, 3250
714718, 10999
605804, 9245
41705, 645
304721, 4670
233647, 3455
759893, 11739
68712, 1050
308459, 4739
654688, 10111
745562, 11521
523747, 8031
334824, 5116
514026, 7914
175595, 2692
721466, 11035
566840, 8738
431173, 6621
480009, 7360
478528, 7332
43567, 640
41882, 631
193390, 2945
13238, 199
688807, 10686
758677, 11633
92102, 1399
185146, 2743
690004, 10390
757487, 11702
36211, 555
656533, 10543
513165, 7970
418910, 6762
276622, 4423
660050, 10269
572484, 8740
598965, 9601
756964, 11446
161270, 2389
264020, 3940
698792, 10603
33994, 516
950485, 14890
176893, 2701
396849, 6029
311639, 4669
546213, 8444
237033, 3688
77777, 1266
881011, 13478
718357, 10953
868902, 13141
991671, 16872
496842, 7935
170728, 2610
457082, 7180
129850, 2012
27511, 415
145019, 2186
382413, 5786
125588, 1863
155369, 2342
967448, 14771
160449, 2487
925970, 14146
797338, 12461
345580, 5277
174396, 2576
87121, 1303
147158, 2281
716805, 10812
