грань,так себе кубик,зашибись кубик,РОМА
1,0.02006,7e-05,-4.8367e-31
2,0.01933,0.00029,-4.8367e-31
3,0.01958,0.00051,0.00468
4,0.01871,0.00076,0.01437
5,0.019,0.00095,0.0287
6,0.01871,0.00127,0.04604
7,0.01873,0.00146,0.06842
8,0.01817,0.00141,0.09504
9,0.01833,0.00177,0.1168
10,0.01839,0.00196,0.12559
11,0.01783,0.00218,0.12469
12,0.01826,0.00212,0.1155
13,0.0175,0.00235,0.09704
14,0.01717,0.00256,0.06964
15,0.01681,0.00266,0.04619
16,0.01598,0.00282,0.02859
17,0.01631,0.00353,0.014
18,0.01623,0.00345,0.00471
19,0.01657,0.004,-4.8367e-31
20,0.01611,0.00437,-4.8367e-31
21,0.01532,0.00424,-4.8367e-31
22,0.01656,0.00408,-4.8367e-31
23,0.01559,0.00439,-4.8367e-31
24,0.01555,0.00466,-4.8367e-31
25,0.01525,0.00507,-4.8367e-31
26,0.01444,0.00533,-4.8367e-31
27,0.01458,0.00555,-4.8367e-31
28,0.01423,0.00584,-4.8367e-31
29,0.01412,0.00604,-4.8367e-31
30,0.01522,0.00606,-4.8367e-31
31,0.01378,0.00626,-4.8367e-31
32,0.01414,0.00644,-4.8367e-31
33,0.0131,0.00705,-4.8367e-31
34,0.01385,0.00652,-4.8367e-31
35,0.01313,0.00676,-4.8367e-31
36,0.01233,0.0072,-4.8367e-31
37,0.01267,0.00726,-4.8367e-31
38,0.01225,0.00783,-4.8367e-31
39,0.0127,0.00751,-4.8367e-31
40,0.01233,0.0079,-4.8367e-31
41,0.01182,0.00827,-4.8367e-31
42,0.01135,0.00791,-4.8367e-31
43,0.01153,0.00811,-4.8367e-31
44,0.01049,0.00819,-4.8367e-31
45,0.01095,0.00897,-4.8367e-31
46,0.01079,0.00915,-4.8367e-31
47,0.01127,0.00859,-4.8367e-31
48,0.01002,0.00941,-4.8367e-31
49,0.00991,0.00912,-4.8367e-31
50,0.01045,0.0094,-4.8367e-31
51,0.0097,0.00968,-4.8367e-31
52,0.00966,0.01094,-4.8367e-31
53,0.00919,0.01093,-4.8367e-31
54,0.00961,0.01087,-4.8367e-31
55,0.00858,0.01121,-4.8367e-31
56,0.0091,0.01102,-4.8367e-31
57,0.00888,0.01106,-4.8367e-31
58,0.00876,0.01199,-4.8367e-31
59,0.00843,0.01173,-4.8367e-31
60,0.00779,0.01152,-4.8367e-31
61,0.00794,0.01227,-4.8367e-31
62,0.00807,0.01197,-4.8367e-31
63,0.00765,0.01179,-4.8367e-31
64,0.00767,0.01319,-4.8367e-31
65,0.00735,0.01321,-4.8367e-31
66,0.00713,0.01342,-4.8367e-31
67,0.00668,0.01362,-4.8367e-31
68,0.00701,0.01317,-4.8367e-31
69,0.00596,0.01348,-4.8367e-31
70,0.00634,0.01378,-4.8367e-31
71,0.00609,0.01397,-4.8367e-31
72,0.00583,0.01414,-4.8367e-31
73,0.00562,0.0147,-4.8367e-31
74,0.00562,0.01511,-4.8367e-31
75,0.00512,0.01507,-4.8367e-31
76,0.00494,0.01511,-4.8367e-31
77,0.00468,0.01489,-4.8367e-31
78,0.00445,0.015,-4.8367e-31
79,0.00431,0.01594,-4.8367e-31
80,0.00436,0.01585,-4.8367e-31
81,0.004,0.01575,-4.8367e-31
82,0.00376,0.01616,-4.8367e-31
83,0.00315,0.01641,-4.8367e-31
84,0.00341,0.01691,-4.8367e-31
85,0.00329,0.01657,-4.8367e-31
86,0.00271,0.01714,-4.8367e-31
87,0.00262,0.01731,-4.8367e-31
88,0.00235,0.01688,-4.8367e-31
89,0.00257,0.01824,-4.8367e-31
90,0.00215,0.01709,-4.8367e-31
91,0.00167,0.01754,-4.8367e-31
92,0.00184,0.01839,-4.8367e-31
93,0.00159,0.01837,-4.8367e-31
94,0.00121,0.01952,-4.8367e-31
95,0.00098,0.01955,-4.8367e-31
96,0.00098,0.01955,-4.8367e-31
97,0.00079,0.01981,-4.8367e-31
98,0.00053,0.01882,-4.8367e-31
99,0.00027,0.01985,-4.8367e-31
100,0.00011,0.01991,-4.8367e-31
