T,center,width,amplitude
301,602.7212121390723,4.495612688882597,1310.1522381538357
274,602.441412336188,3.5880886289184137,942.6686367956661
262,602.2999434471014,2.9337780818882124,1056.2400024248586
248,602.2028178673283,2.5570525327971927,1146.345774834894
238,602.1448066836706,2.253456067148456,1303.3487059687725
230,602.108029286449,1.98849410751101,1463.418933039344
220,602.0674365867793,1.8069713698094703,1896.99430947813
203,602.0196420682869,1.5091380402652155,2620.7089486379937
193,602.0028319916945,1.3490293881020032,3080.015991422884
183,601.9920331324435,1.2550060142097557,3378.431682356406
173,601.9862630103341,1.134550251687712,3797.951754261713
163,601.9913059931844,1.062853617907415,3991.1463522141617
153,602.243727360249,0.631513507906047,4182.872829698984
153,601.0965186430925,0.5656134313766428,1832.6567692711758
140,602.2441524657688,0.4933072612392935,6158.322136250085
140,601.0596267990015,0.42859618567671137,2859.3128640325003
132,602.2379483967275,0.41594266195248764,7854.721838139687
132,601.0323955221892,0.36463872136232783,3465.106058418659
123,602.2338801774871,0.3788502067919609,8484.69840960143
123,601.00961955447,0.32205504361034465,3698.2986044636605
118,602.229969604991,0.3543259877211089,8799.845908215213
118,601.0035091251408,0.30055724185456617,3652.6577137689083
116,602.2281138660917,0.3455177041560999,6994.835682442732
116,600.9911393201212,0.29757546974432103,2789.7763686598228
115,602.2382129507954,0.37420117624587523,43529.803975956376
115,600.9861645382289,0.33867437455304905,17864.84704762668
